Year,ANZSCO,Occupation,Skill Level,Automation probability,Employed total ('000),Share of workforce
1988,2253,Public Relations Professionals,1,18,5.975303468,"""0.08%"""
1988,2339,Other Engineering Professionals,1,2.2,4.049342703,"""0.05%"""
1988,2254,Technical Sales Representatives,1,21.7,14.21921202,"""0.20%"""
1988,2323,"Fashion, Industrial and Jewellery Designers",1,3.1,2.354629718,"""0.03%"""
1988,2311,Air Transport Professionals,1,25.5,8.202935503,"""0.11%"""
1988,2633,Telecommunications Engineering Professionals,1,2.5,6.999555168,"""0.09%"""
1988,2312,Marine Transport Professionals,1,20,11.48845272,"""0.16%"""
1988,2324,"Graphic and Web Designers, and Illustrators",1,7.3,12.28484329,"""0.17%"""
1988,2522,Complementary Health Therapists,1,2.5,1.69981463,"""0.02%"""
1988,2326,Urban and Regional Planners,1,13,2.88351865,"""0.04%"""
1988,2322,Surveyors and Spatial Scientists,1,48.7,7.438987428,"""0.10%"""
1988,2631,Computer Network Professionals,1,3,7.324594283,"""0.10%"""
1988,2621,"Database and Systems Administrators, and ICT Security Specialists",1,3,9.89606697,"""0.14%"""
1988,2333,Electrical Engineers,1,10,12.1290002,"""0.17%"""
1988,2325,Interior Designers,1,15.1,2.333416843,"""0.03%"""
1988,2334,Electronics Engineers,1,12.9,4.862286428,"""0.06%"""
1988,2713,Solicitors,1,3.5,20.84394161,"""0.29%"""
1988,2336,Mining Engineers,1,12,3.483144578,"""0.04%"""
1988,2711,Barristers,1,3.5,2.025196125,"""0.02%"""
1988,2726,"Welfare, Recreation and Community Arts Workers",1,3.7,5.711122445,"""0.08%"""
1988,2342,"Chemists, and Food and Wine Scientists",1,6.6,9.476881068,"""0.13%"""
1988,2725,Social Workers,1,3.7,6.975789648,"""0.09%"""
1988,2343,Environmental Scientists,1,8.6,6.005442395,"""0.08%"""
1988,2347,Veterinarians,1,3.8,3.286919623,"""0.04%"""
1988,2345,Life Scientists,1,4.3,4.35886461,"""0.06%"""
1988,2411,Early Childhood (Pre-primary School) Teachers,1,5.1,9.989512908,"""0.14%"""
1988,2721,Counsellors,1,5.2,4.902097595,"""0.06%"""
1988,2344,"Geologists, Geophysicists and Hydrogeologists",1,53.2,5.172406583,"""0.07%"""
1988,2412,Primary School Teachers,1,5.7,107.3891278,"""1.52%"""
1988,2422,Vocational Education Teachers,1,5.3,27.7625069,"""0.39%"""
1988,2346,Medical Laboratory Scientists,1,59.8,7.724831655,"""0.10%"""
1988,2492,Private Tutors and Teachers,1,11.9,17.12209222,"""0.24%"""
1988,2513,Occupational and Environmental Health Professionals,1,12,5.770308098,"""0.08%"""
1988,2349,Other Natural and Physical Science Professionals,1,16.1,2.865930513,"""0.04%"""
1988,2514,Optometrists and Orthoptists,1,14,1.997188643,"""0.02%"""
1988,2712,Judicial and Other Legal Professionals,1,11.8,3.910541998,"""0.05%"""
1988,2512,Medical Imaging Professionals,1,30.2,3.871810563,"""0.05%"""
1988,2519,Other Health Diagnostic and Promotion Professionals,1,41.9,1.63558184,"""0.02%"""
1988,2724,Social Professionals,1,24.6,2.707948353,"""0.03%"""
1988,2613,Software and Applications Programmers,1,27.3,26.1173225,"""0.37%"""
1988,3422,Electrical Distribution Trades Workers,3,7.3,11.59468516,"""0.16%"""
1988,3911,Hairdressers,3,15.8,42.89710764,"""0.61%"""
1988,3126,Safety Inspectors,2,21.1,3.140050048,"""0.04%"""
1988,3411,Electricians,3,27.7,92.99708963,"""1.32%"""
1988,3131,ICT Support Technicians,2,31,17.49346498,"""0.24%"""
1988,3113,Primary Products Inspectors,2,33.7,2.482152093,"""0.03%"""
1988,3933,Upholsterers,3,39,5.700788293,"""0.08%"""
1988,3621,Florists,3,40,5.36633395,"""0.07%"""
1988,3341,Plumbers,3,40.3,48.03675025,"""0.68%"""
1988,3613,Veterinary Nurses,3,42.6,3.543628035,"""0.05%"""
1988,3129,Other Building and Engineering Technicians,2,43.5,8.958841188,"""0.12%"""
1988,3424,Telecommunications Trades Workers,3,44.8,35.82629682,"""0.50%"""
1988,3121,"Architectural, Building and Surveying Technicians",2,45.3,33.10736512,"""0.47%"""
1988,3999,Other Miscellaneous Technicians and Trades Workers,3,46.6,5.50247324,"""0.07%"""
1988,3111,Agricultural Technicians,2,73.1,1.592196153,"""0.02%"""
1988,3423,Electronics Trades Workers,3,47.9,20.65491684,"""0.29%"""
1988,3112,Medical Technicians,2,61.7,7.272453533,"""0.10%"""
1988,3995,Performing Arts Technicians,3,49.6,7.579397268,"""0.10%"""
1988,3513,Chefs,2,52.2,21.51157157,"""0.30%"""
1988,3114,Science Technicians,2,55,13.4540189,"""0.19%"""
1988,3231,Aircraft Maintenance Engineers,3,52.4,7.055037433,"""0.10%"""
1988,3122,Civil Engineering Draftspersons and Technicians,2,63,10.06553779,"""0.14%"""
1988,3233,Precision Metal Trades Workers,3,55.8,9.888252718,"""0.14%"""
1988,3123,Electrical Engineering Draftspersons and Technicians,2,77.3,7.670471975,"""0.10%"""
1988,3125,Mechanical Engineering Draftspersons and Technicians,2,56.1,9.778787753,"""0.13%"""
1988,3124,Electronic Engineering Draftspersons and Technicians,2,82.8,20.12015703,"""0.28%"""
1988,3421,Airconditioning and Refrigeration Mechanics,3,56.3,12.60501547,"""0.17%"""
1988,3211,Automotive Electricians,3,59.2,7.691231595,"""0.10%"""
1988,3992,"Chemical, Gas, Petroleum and Power Generation Plant Operators",3,60.3,12.30449663,"""0.17%"""
1988,3612,Shearers,3,61.8,10.25030481,"""0.14%"""
1988,3132,Telecommunications Technical Specialists,2,73.2,8.037488653,"""0.11%"""
1988,3232,Metal Fitters and Machinists,3,64.4,112.2163163,"""1.59%"""
1988,3212,Motor Mechanics,3,65.1,94.21857164,"""1.34%"""
1988,3221,"Metal Casting, Forging and Finishing Trades Workers",3,92.2,5.868104643,"""0.08%"""
1988,3624,Nurserypersons,3,66,7.238155933,"""0.10%"""
1988,3222,Sheetmetal Trades Workers,3,80.7,14.18885268,"""0.20%"""
1988,3623,Greenkeepers,3,66,9.915412688,"""0.14%"""
1988,3223,Structural Steel and Welding Trades Workers,3,83.2,64.37273985,"""0.91%"""
1988,3622,Gardeners,3,66,31.10267356,"""0.44%"""
1988,3242,Vehicle Body Builders and Trimmers,3,68.2,6.333892143,"""0.09%"""
1988,3931,Canvas and Leather Goods Makers,3,69.9,6.196213853,"""0.08%"""
1988,3312,Carpenters and Joiners,3,72,98.39518129,"""1.39%"""
1988,3234,Toolmakers and Engineering Patternmakers,3,79,11.66841678,"""0.16%"""
1988,3331,Glaziers,3,73,6.246527245,"""0.08%"""
1988,3241,Panelbeaters,3,80.7,24.66323007,"""0.35%"""
1988,3243,Vehicle Painters,3,79.6,10.84925978,"""0.15%"""
1988,3611,Animal Attendants and Trainers,3,73.9,9.177402548,"""0.13%"""
1988,3311,Bricklayers and Stonemasons,3,83.1,28.97759115,"""0.41%"""
1988,3922,Graphic Pre-press Trades Workers,3,74.8,14.10024936,"""0.20%"""
1988,3322,Painting Trades Workers,3,75.2,35.74969159,"""0.50%"""
1988,3321,Floor Finishers,3,80.6,7.085960105,"""0.10%"""
1988,3991,Boat Builders and Shipwrights,3,76,4.530487673,"""0.06%"""
1988,3332,Plasterers,3,77.5,16.45709011,"""0.23%"""
1988,3333,Roof Tilers,3,90,4.794907568,"""0.06%"""
1988,3334,Wall and Floor Tilers,3,80.6,8.156584818,"""0.11%"""
1988,3932,Clothing Trades Workers,3,80.9,12.21971257,"""0.17%"""
1988,3923,Printers,3,83,23.83204187,"""0.33%"""
1988,3511,Bakers and Pastrycooks,3,89,16.02520088,"""0.22%"""
1988,3512,Butchers and Smallgoods Makers,3,86.4,25.67040167,"""0.36%"""
1988,3514,Cooks,3,86.2,27.42407176,"""0.39%"""
1988,3921,Print Finishers and Screen Printers,3,90.1,8.00291702,"""0.11%"""
1988,3993,"Gallery, Library and Museum Technicians",2,90.7,1.567278003,"""0.02%"""
1988,3942,Wood Machinists and Other Wood Trades Workers,3,90.7,10.93367648,"""0.15%"""
1988,3941,Cabinetmakers,3,91.3,25.83113894,"""0.36%"""
1988,3996,Signwriters,3,93.3,5.64945133,"""0.08%"""
1988,3994,Jewellers,3,95,4.319583,"""0.06%"""
1988,4114,Enrolled and Mothercraft Nurses,2,5.8,38.32127489,"""0.54%"""
1988,4522,Outdoor Adventure Guides,4,8.3,0.237640703,"""0.00%"""
1988,4521,Fitness Instructors,4,8.3,4.011934275,"""0.05%"""
1988,4211,Child Carers,4,8.4,26.07980769,"""0.37%"""
1988,4523,"Sports Coaches, Instructors and Officials",3,8.9,7.52670872,"""0.10%"""
1988,4113,Diversional Therapists,3,9.1,0.923525943,"""0.01%"""
1988,4234,Special Care Workers,4,9.3,0.502042445,"""0.00%"""
1988,4413,Police,2,10.4,35.08704647,"""0.49%"""
1988,4117,Welfare Support Workers,2,12.7,14.81925764,"""0.21%"""
1988,4512,Driving Instructors,3,13,2.49126716,"""0.03%"""
1988,4412,Fire and Emergency Workers,3,19,11.6441723,"""0.16%"""
1988,4116,Massage Therapists,2,27.2,1.346607653,"""0.01%"""
1988,4515,Personal Care Consultants,4,35.1,1.220460768,"""0.01%"""
1988,4511,Beauty Therapists,4,35.1,6.144388605,"""0.08%"""
1988,4111,Ambulance Officers and Paramedics,2,49.4,5.435487053,"""0.07%"""
1988,4517,Travel Attendants,3,35.4,6.437030513,"""0.09%"""
1988,4112,"Dental Hygienists, Technicians and Therapists",2,67,3.904755083,"""0.05%"""
1988,4513,Funeral Workers,2,39,1.83329921,"""0.02%"""
1988,4524,Sportspersons,3,40.3,2.227643713,"""0.03%"""
1988,4516,Tourism and Travel Advisers,4,45.6,12.57920585,"""0.17%"""
1988,4233,Nursing Support and Personal Care Workers,4,47.4,39.61257642,"""0.56%"""
1988,4518,Other Personal Service Workers,4,51.8,3.184627305,"""0.04%"""
1988,4421,Prison Officers,4,54.6,6.90108173,"""0.09%"""
1988,4221,Education Aides,4,56,18.58326153,"""0.26%"""
1988,4231,Aged and Disabled Carers,4,55,17.30995855,"""0.24%"""
1988,4514,"Gallery, Museum and Tour Guides",4,61,3.921854463,"""0.05%"""
1988,4311,Bar Attendants and Baristas,4,77,41.73768931,"""0.59%"""
1988,4319,Other Hospitality Workers,5,66.2,2.783126898,"""0.03%"""
1988,4312,Cafe Workers,5,92.9,11.99942772,"""0.17%"""
1988,4313,Gaming Workers,4,76.9,3.642653385,"""0.05%"""
1988,4314,Hotel Service Managers,3,94,6.31007402,"""0.08%"""
1988,4315,Waiters,4,93.6,48.6264273,"""0.69%"""
1988,4422,Security Officers and Guards,5,83.1,28.88619019,"""0.41%"""
1988,5121,Office Managers,2,1.4,62.77557711,"""0.89%"""
1988,5111,"Contract, Program and Project Administrators",2,34.7,13.97407834,"""0.19%"""
1988,5995,Inspectors and Regulatory Officers,4,42.8,26.0017519,"""0.36%"""
1988,5411,Call or Contact Centre Workers,3,52.3,13.40643842,"""0.19%"""
1988,5122,Practice Managers,2,60.2,5.0223788,"""0.07%"""
1988,5999,Other Miscellaneous Clerical and Administrative Workers,4,67.3,11.78430353,"""0.16%"""
1988,5911,Purchasing and Supply Logistics Clerks,4,75.3,75.50383069,"""1.07%"""
1988,5611,Betting Clerks,5,76.9,4.25666686,"""0.06%"""
1988,5614,Mail Sorters,5,77.2,15.5884585,"""0.22%"""
1988,5612,Couriers and Postal Deliverers,5,77.8,32.21515497,"""0.45%"""
1988,5912,Transport and Despatch Clerks,4,83.5,30.3330903,"""0.43%"""
1988,5211,Personal Assistants,3,85.1,75.11741706,"""1.06%"""
1988,5991,Conveyancers and Legal Executives,2,86.5,3.873921635,"""0.05%"""
1988,5992,Court and Legal Clerks,3,87.5,6.574133775,"""0.09%"""
1988,5994,Human Resource Clerks,4,90,10.05745862,"""0.14%"""
1988,5522,Credit and Loans Officers,4,90.1,5.448107378,"""0.07%"""
1988,5421,Receptionists,4,91.6,115.4612374,"""1.64%"""
1988,5523,"Insurance, Money Market and Statistical Clerks",4,92.6,27.30658991,"""0.38%"""
1988,5212,Secretaries,3,95.4,129.9837436,"""1.84%"""
1988,5615,Survey Interviewers,5,94,16.59802729,"""0.23%"""
1988,5311,General Clerks,4,96,76.38306643,"""1.08%"""
1988,5613,Filing and Registry Clerks,5,94.5,15.53963408,"""0.22%"""
1988,5321,Keyboard Operators,4,95.1,134.2099021,"""1.90%"""
1988,5993,Debt Collectors,4,95,11.37513664,"""0.16%"""
1988,5412,Information Officers,4,95.9,27.78880268,"""0.39%"""
1988,5511,Accounting Clerks,4,97.2,104.7064252,"""1.48%"""
1988,5512,Bookkeepers,4,97.7,87.43660164,"""1.24%"""
1988,5616,Switchboard Operators,5,96.1,14.08309164,"""0.20%"""
1988,5513,Payroll Clerks,4,97,17.85561885,"""0.25%"""
1988,5997,Library Assistants,4,96.3,18.46044015,"""0.26%"""
1988,5521,Bank Workers,4,97.8,92.32054151,"""1.31%"""
1988,5996,"Insurance Investigators, Loss Adjusters and Risk Surveyors",3,96.6,2.7897428,"""0.03%"""
1988,5619,Other Clerical and Office Support Workers,5,96.7,42.61649671,"""0.60%"""
1988,6215,Retail Supervisors,4,28,15.33317305,"""0.21%"""
1988,6395,Visual Merchandisers,4,28.4,2.140864543,"""0.03%"""
1988,6111,"Auctioneers, and Stock and Station Agents",3,34.7,2.74286776,"""0.03%"""
1988,6391,Models and Sales Demonstrators,5,54.4,7.924154675,"""0.11%"""
1988,6392,Retail and Wool Buyers,3,64.1,2.860768825,"""0.04%"""
1988,6216,Service Station Attendants,5,75.5,7.560496033,"""0.10%"""
1988,6113,Sales Representatives,4,77.9,70.33523512,"""1.00%"""
1988,6399,Other Sales Support Workers,5,78.6,0.880626425,"""0.01%"""
1988,6121,Real Estate Sales Agents,3,79.5,34.52045701,"""0.49%"""
1988,6112,Insurance Agents,3,88.5,12.79747378,"""0.18%"""
1988,6211,Sales Assistants (General),5,91.7,320.0267172,"""4.55%"""
1988,6212,ICT Sales Assistants,5,92.3,9.990906783,"""0.14%"""
1988,6214,Pharmacy Sales Assistants,5,92.3,20.42141585,"""0.29%"""
1988,6213,Motor Vehicle and Vehicle Parts Salespersons,4,92.3,20.00871272,"""0.28%"""
1988,6394,Ticket Salespersons,5,93.2,10.75800919,"""0.15%"""
1988,6217,Street Vendors and Related Salespersons,5,94,11.9021172,"""0.16%"""
1988,6219,Other Sales Assistants and Salespersons,5,96.2,6.347477845,"""0.09%"""
1988,6311,Checkout Operators and Office Cashiers,5,96.9,60.2559003,"""0.85%"""
1988,6393,Telemarketers,5,99,8.721443388,"""0.12%"""
1988,7129,Other Stationary Plant Operators,4,61.7,26.50758523,"""0.37%"""
1988,7114,Photographic Developers and Printers,4,67.1,10.08247963,"""0.14%"""
1988,7117,Textile and Footwear Production Machine Operators,4,71.7,18.49492221,"""0.26%"""
1988,7121,"Crane, Hoist and Lift Operators",4,72,12.58383712,"""0.17%"""
1988,7122,"Drillers, Miners and Shot Firers",4,75,27.49043857,"""0.39%"""
1988,7119,Other Machine Operators,4,75.2,10.47051857,"""0.14%"""
1988,7313,Train and Tram Drivers,4,75.8,12.51243775,"""0.17%"""
1988,7411,Storepersons,4,76.4,61.91248658,"""0.88%"""
1988,7331,Truck Drivers,4,78.4,123.8246368,"""1.76%"""
1988,7321,Delivery Drivers,4,78.7,29.89963904,"""0.42%"""
1988,7311,Automobile Drivers,4,78.7,23.76144407,"""0.33%"""
1988,7211,"Agricultural, Forestry and Horticultural Plant Operators",4,79,7.360326643,"""0.10%"""
1988,7112,Industrial Spraypainters,4,79.6,8.34928352,"""0.11%"""
1988,7113,Paper and Wood Processing Machine Operators,4,80.1,13.19696288,"""0.18%"""
1988,7123,Engineering Production Workers,4,81.8,31.72300813,"""0.45%"""
1988,7111,"Clay, Concrete, Glass and Stone Processing Machine Operators",4,84.4,7.733307378,"""0.11%"""
1988,7219,Other Mobile Plant Operators,4,82.1,5.80689133,"""0.08%"""
1988,7312,Bus and Coach Drivers,4,82.3,26.12022413,"""0.37%"""
1988,7115,Plastics and Rubber Production Machine Operators,4,87.9,24.45303136,"""0.34%"""
1988,7116,Sewing Machinists,4,89,50.12046095,"""0.71%"""
1988,7213,Forklift Drivers,4,91,27.07079597,"""0.38%"""
1988,7212,Earthmoving Plant Operators,4,93.2,42.54963303,"""0.60%"""
1988,8111,Car Detailers,5,37,14.54187822,"""0.20%"""
1988,8219,Other Construction and Mining Labourers,5,56.7,9.128829908,"""0.12%"""
1988,8321,Packers,5,60.1,50.37045355,"""0.71%"""
1988,8112,Commercial Cleaners,5,65.5,146.9468772,"""2.09%"""
1988,8214,Insulation and Home Improvement Installers,4,67.3,13.86546109,"""0.19%"""
1988,8113,Domestic Cleaners,5,69,25.72261995,"""0.36%"""
1988,8114,Housekeepers,5,70.6,10.95025189,"""0.15%"""
1988,8115,Laundry Workers,5,73.1,19.70249429,"""0.28%"""
1988,8311,Food and Drink Factory Workers,5,74.2,25.90390441,"""0.36%"""
1988,8217,Structural Steel Construction Workers,4,77.7,12.72407502,"""0.18%"""
1988,8116,Other Cleaners,5,78.5,15.615465,"""0.22%"""
1988,8394,Timber and Wood Process Workers,5,79.4,17.07752469,"""0.24%"""
1988,8211,Building and Plumbing Labourers,5,85.8,41.06565803,"""0.58%"""
1988,8212,Concreters,5,90,21.46846853,"""0.30%"""
1988,8213,Fencers,4,85.6,10.21362747,"""0.14%"""
1988,8215,Paving and Surfacing Labourers,5,87.2,14.02880301,"""0.19%"""
1988,8216,Railway Track Workers,4,87.2,8.706052943,"""0.12%"""
1988,8313,"Meat, Poultry and Seafood Process Workers",5,85.2,21.72455539,"""0.30%"""
1988,8312,"Meat Boners and Slicers, and Slaughterers",4,86.4,18.7600218,"""0.26%"""
1988,8322,Product Assemblers,5,95.2,44.96549522,"""0.63%"""
1988,8393,Product Quality Controllers,4,97,20.80997331,"""0.29%"""
1988,8399,Other Factory Process Workers,5,81.8,13.03147289,"""0.18%"""
1988,8413,Forestry and Logging Workers,4,81.8,7.297547228,"""0.10%"""
1988,8414,Garden and Nursery Labourers,5,95,27.80059007,"""0.39%"""
1988,8415,Livestock Farm Workers,5,61.8,40.10569746,"""0.57%"""
1988,8419,"Other Farm, Forestry and Garden Workers",5,67.5,5.039499053,"""0.07%"""
1988,8511,Fast Food Cooks,5,82.8,10.857047,"""0.15%"""
1988,8512,Food Trades Assistants,5,84.3,6.819426115,"""0.09%"""
1988,8513,Kitchenhands,5,84.3,77.80335248,"""1.10%"""
1988,8911,Freight and Furniture Handlers,5,76.7,11.55072514,"""0.16%"""
1988,8912,Shelf Fillers,5,64,52.49640799,"""0.74%"""
1988,8991,Caretakers,5,66,7.67802147,"""0.10%"""
1988,8992,Deck and Fishing Hands,4,69.4,9.657030433,"""0.13%"""
1988,8993,Handypersons,5,65.4,22.70075102,"""0.32%"""
1988,8994,Motor Vehicle Parts and Accessories Fitters,4,66.6,7.736513753,"""0.11%"""
1988,8995,Printing Assistants and Table Workers,4,80.4,8.506066413,"""0.12%"""
1988,8996,Recycling and Rubbish Collectors,5,78,4.46429561,"""0.06%"""
1988,8997,Vending Machine Attendants,5,89.2,4.037642443,"""0.05%"""
1988,8999,Other Miscellaneous Labourers,5,75.1,33.23033993,"""0.47%"""
1988,2493,Teachers of English to Speakers of Other Languages,1,17.1,1.989950138,"""0.02%"""
1988,2524,Occupational Therapists,1,0.8,4.4660606,"""0.06%"""
1988,2525,Physiotherapists,1,2.1,6.385015258,"""0.09%"""
1988,2526,Podiatrists,1,0.8,0.86595026,"""0.01%"""
1988,4232,Dental Assistants,4,60.1,10.95238201,"""0.15%"""
1989,1111,Chief Executives and Managing Directors,1,14,24.05255037,"""0.32%"""
1989,1112,General Managers,1,14,21.12766069,"""0.28%"""
1989,1211,Aquaculture Farmers,1,31.2,1.752025185,"""0.02%"""
1989,1212,Crop Farmers,1,51,46.70484889,"""0.63%"""
1989,1213,Livestock Farmers,1,37.4,91.58627995,"""1.24%"""
1989,1214,Mixed Crop and Livestock Farmers,1,59,103.4616231,"""1.40%"""
1989,1311,"Advertising, Public Relations and Sales Managers",1,1.5,51.06508607,"""0.69%"""
1989,1321,Corporate Services Managers,1,38.9,2.229785913,"""0.03%"""
1989,1322,Finance Managers,1,6.9,21.85954716,"""0.29%"""
1989,1323,Human Resource Managers,1,11.3,10.29541952,"""0.13%"""
1989,1324,Policy and Planning Managers,1,25,17.82187736,"""0.24%"""
1989,1325,Research and Development Managers,1,1.7,3.515011455,"""0.04%"""
1989,1331,Construction Managers,1,9.5,53.52272134,"""0.72%"""
1989,1332,Engineering Managers,1,25,3.026762273,"""0.04%"""
1989,1333,"Importers, Exporters and Wholesalers",1,23.9,12.38069607,"""0.16%"""
1989,1334,Manufacturers,1,3,27.22730013,"""0.36%"""
1989,1335,Production Managers,1,5.5,33.65085231,"""0.45%"""
1989,1336,"Supply, Distribution and Procurement Managers",1,59,10.29252105,"""0.13%"""
1989,1341,Child Care Centre Managers,1,1.5,4.1910713,"""0.05%"""
1989,1342,Health and Welfare Services Managers,1,5,3.25444698,"""0.04%"""
1989,1343,School Principals,1,0.7,8.7930275,"""0.11%"""
1989,1344,Other Education Managers,1,0.7,3.941142655,"""0.05%"""
1989,1351,ICT Managers,1,3.5,8.667847813,"""0.11%"""
1989,1391,Commissioned Officers (Management),1,25,0.789853193,"""0.01%"""
1989,1399,Other Specialist Managers,1,13.1,10.98386183,"""0.14%"""
1989,1411,Cafe and Restaurant Managers,2,8.3,30.02142686,"""0.40%"""
1989,1412,Caravan Park and Camping Ground Managers,2,25,3.353382178,"""0.04%"""
1989,1413,Hotel and Motel Managers,2,0.4,20.84692456,"""0.28%"""
1989,1414,Licensed Club Managers,2,25,5.145327013,"""0.06%"""
